2to3	python2-basic
autoupdate	c-basic
autoupdate213	c-basic-legacy
autrace	audit
auvirt	audit
avcenc	libva-utils
avcstreamoutdemo	libva-utils
avx512_1	octave
awesome	desktop-awesome
awesome-client	desktop-awesome
awk	os-core
aws	cloud-api
aws.cmd	cloud-api
aws_bash_completer	cloud-api
aws_completer	cloud-api
aws_zsh_completer.sh	cloud-api
axel	axel
axohelp	texlive
b2sum	os-core
babeltrace	dev-utils-dev
babeltrace-log	dev-utils-dev
backend-test-tools	computer-vision-models
badblocks	os-cloudguest-aws
baloo_file	desktop-kde
baloo_file_extractor	desktop-kde
baloo_filemetadata_temp_extractor	desktop-kde
balooctl	desktop-kde
baloosearch	desktop-kde
balooshow	desktop-kde
bandit	openstack-common
bandit-baseline	openstack-common
bandit-config-generator	openstack-common
baobab	baobab
barbican	openstack-common
barbican-db-manage	openstack-common
barbican-keystone-listener	openstack-common
barbican-manage	openstack-common
barbican-retry	openstack-common
barbican-worker	openstack-common
barbican-wsgi-api	openstack-common
base32	os-core
base64	os-core
basename	os-core
bash	os-core
bashbug	shells
bashdb	sysadmin-basic
batch	os-cloudguest-azure
bats	software-testing
bazel	machine-learning-basic
bbl2bib	texlive
bbox	texlive
bc	bc
bcache-super-show	bcache-tools
bcc-lua	bcc
bccmd	hardware-bluetooth
bcomps	graphviz
bdftogd	devpkg-libgd
bdftopcf	qt-basic-dev
bdftruncate	devpkg-font-util
beeline	big-data-basic
bertprobe	devpkg-telemetrics-client
bg5+latex	texlive
bg5+pdflatex	texlive
bg5conv	texlive
bg5latex	texlive
bg5pdflatex	texlive
bgp_btoa	quagga
bgpd	quagga
bib2gls	texlive
bibdoiadd	texlive
bibexport	texlive
bibmradd	texlive
bibtex	texlive
bibtex8	texlive
bibtexu	texlive
biburl2doi	texlive
bibzbladd	texlive
bifcl	network-monitor-node
bin2hex.py	python-extras
binpac	network-monitor-node
binwalk	diffoscope
biosdecode	sysadmin-basic
bison	bison
blender	blender
blenderplayer	blender
blinken	education-preschool
blkdeactivate	boot-encrypted
blkdiscard	os-core
blkid	os-core
blkiomon	performance-tools
blkmapd	nfs-utils
blkparse	performance-tools
blkrawverify	performance-tools
blktrace	performance-tools
blkzone	os-core
blockdev	os-core
blockdiag	python-extras
bluedevil-sendfile	desktop-kde
bluedevil-wizard	desktop-kde
bluemoon	hardware-bluetooth
bluetooth-sendto	desktop
bluetoothctl	hardware-bluetooth
bmaptool	mkosi
bmc-config	sysadmin-hostmgmt
bmc-device	sysadmin-hostmgmt
bmc-info	sysadmin-hostmgmt
bmc-watchdog	sysadmin-hostmgmt
bno_plot.py	performance-tools
boinc	boinc-client
boinc_client	boinc-client
boinccmd	boinc-client
boincmgr	boinc-client
boincscr	boinc-client
bokeh	python-data-science
boltctl	desktop
bombardment	performance-tools
bomber	desktop-kde-games
bootctl	os-core
borg	borgbackup
borgfs	borgbackup
bovo	desktop-kde-apps
brctl	network-basic
breeze-settings5	desktop-kde
bridge	os-core
bro	network-monitor-node
bro-config	network-monitor-node
brotli	devpkg-brotli
bsdcat	libarchive
bsdcpio	libarchive
bsdiff	mixer
bsdtar	libarchive
bsdump	mixer
bspatch	mixer
btattach	hardware-bluetooth
btmon	hardware-bluetooth
btrace	performance-tools
btrecord	performance-tools
btreplay	performance-tools
btrfs	os-core-update
btrfs-convert	os-core-update
btrfs-extent-same	duperemove
btrfs-find-root	os-core-update
btrfs-image	os-core-update
btrfs-map-logical	os-core-update
btrfs-select-super	os-core-update
btrfsck	os-core-update
btrfstune	os-core-update
btt	performance-tools
bugpoint	llvm
build-progress.sh	desktop-kde-apps
bundle-chroot-builder.py	mixer
bundle_image	cloud-api
bundledoc	texlive
bunzip2	sysadmin-basic
busctl	os-core
bzcat	sysadmin-basic
bzcmp	sysadmin-basic
bzdiff	sysadmin-basic
bzegrep	sysadmin-basic
bzfgrep	sysadmin-basic
bzgrep	sysadmin-basic
bzip2	sysadmin-basic
bzip2recover	sysadmin-basic
bzless	sysadmin-basic
bzmore	sysadmin-basic
c++	c-basic
c++-copy-class-and-file	desktop-kde-apps
c++-rename-class-and-file	desktop-kde-apps
c++filt	binutils
c-index-test	llvm
cabextract	cabextract
cabrip	devpkg-libmspack
cache_check	storage-utils
cache_dump	storage-utils
cache_metadata_size	storage-utils
cache_repair	storage-utils
cache_restore	storage-utils
cache_writeback	storage-utils
cachepic	texlive
cairo-trace	devpkg-cairo
cal	os-core
calc-prorate	ceph
calendarjanitor	akonadi
calidns	pdns
callgrind_annotate	valgrind
callgrind_control	valgrind
callpass	amateur-radio
canberra-gtk-play	desktop
canbusutil	qt-basic
cancel	hardware-printing
cantata	desktop-kde-apps
cantor	education-tertiary
cantor_python3server	education-tertiary
cantor_rserver	education-tertiary
cantor_scripteditor	education-tertiary
capinfos	wireshark
capsh	sysadmin-basic
captest	devpkg-libcap-ng
captoinfo	sysadmin-basic
captype	wireshark
cargo	rust-basic
caribou-preferences	desktop
caspol	mono
casync	casync
cat	os-core
catchsegv	sysadmin-basic
catman	sysadmin-basic
cbc_attach	software-defined-cockpit
cbc_diagnostic	software-defined-cockpit
cbc_lifecycle	software-defined-cockpit
cbc_logging	software-defined-cockpit
cbc_thermal	software-defined-cockpit
cbc_thermal_chart.py	software-defined-cockpit
cbc_thermald_start	software-defined-cockpit
cc	c-basic
ccache	ccache
ccache-swig	machine-learning-basic
cccheck	mono
ccconfig	perl-extras
ccmake	c-basic
ccomps	graphviz
ccrewrite	mono
cd-convert	desktop-dev
cd-create-profile	desktop
cd-drive	os-utils-gui-dev
cd-fix-profile	desktop
cd-iccdump	desktop
cd-info	os-utils-gui-dev
cd-it8	desktop
cd-read	os-utils-gui-dev
cdda-player	os-utils-gui-dev
cdrskin	os-utils-gui-dev
cec-compliance	v4l-utils
cec-ctl	v4l-utils
cec-follower	v4l-utils
cef5conv	texlive
cef5latex	texlive
cef5pdflatex	texlive
cefconv	texlive
ceflatex	texlive
cefpdflatex	texlive
cefsconv	texlive
cefslatex	texlive
cefspdflatex	texlive
ceph	ceph
ceph-authtool	ceph
ceph-bluestore-tool	ceph
ceph-clsinfo	ceph
ceph-conf	ceph
ceph-create-keys	ceph
ceph-dencoder	ceph
ceph-deploy	storage-cluster
ceph-detect-init	ceph
ceph-disk	ceph
ceph-fuse	ceph
ceph-kvstore-tool	ceph
ceph-mds	ceph
ceph-mgr	ceph
ceph-mon	ceph
ceph-monstore-tool	ceph
ceph-objectstore-tool	ceph
ceph-osd	ceph
ceph-osdomap-tool	ceph
ceph-post-file	ceph
ceph-rbdnamer	ceph
ceph-run	ceph
ceph-syn	ceph
ceph-volume	ceph
ceph-volume-systemd	ceph
cephfs-data-scan	ceph
cephfs-journal-tool	ceph
cephfs-table-tool	ceph
cert-sync	mono
cert-to-efi-hash-list	os-clr-on-clr
cert-to-efi-sig-list	os-clr-on-clr
cert2spc	mono
certbot	letsencrypt-client
certmgr	mono
certtool	cryptography
certutil	cryptography
cfadmin	cloud-api
cfdisk	os-core
cfftot1	texlive
cg_annotate	valgrind
cg_diff	valgrind
cg_merge	valgrind
cgclassify	devpkg-libcgroup
cgclear	devpkg-libcgroup
cgconfigparser	devpkg-libcgroup
cgcreate	devpkg-libcgroup
cgdb	dev-utils
cgdelete	devpkg-libcgroup
cgdisk	storage-utils
cgexec	devpkg-libcgroup
cgget	devpkg-libcgroup
cgi-fcgi	kvm-host-dev
cgrulesengd	devpkg-libcgroup
cgset	devpkg-libcgroup
cgsnapshot	devpkg-libcgroup
chacl	acl
chage	os-core
chardetect	docker-compose
chat	desktop-dev
chattr	os-core
chcon	os-core
chcpu	os-core
cheatmake	desktop-kde-apps
check-manifest	django
check-model	computer-vision-models
check-node	computer-vision-models
check-regexp	dev-utils
checkXML5	desktop-kde
check_for_unsafe_apis	storage-utils-dev
check_lft_balance.pl	hpc-utils
checkbandwidth	performance-tools
checkcites	texlive
checkgid	httpd
checklistings	texlive
checkmk	c-basic
cheese	cheese
cheetah	koji
cheetah-analyze	koji
cheetah-compile	koji
chem	sysadmin-basic
cheroot	ceph
cherryd	ceph
chfn	os-core
chgpasswd	os-core
chgrp	os-core
chkstow	sysadmin-basic
chktex	texlive
chktrust	mono
chkweb	texlive
chmem	os-core
chmextract	devpkg-libmspack
chmod	os-core
chmorph	kde-frameworks5-dev
choom	os-core
chown	os-core
chpasswd	os-core
chrome-gnome-shell	desktop-apps-extras
chronic	os-testsuite-0day
chronyc	time-server-basic
chronyd	time-server-basic
chroot	os-core
chrpath	desktop-dev
chrt	os-core
chsh	os-core
chsh.ldap	openstack-common
chvt	kbd
cifscreds	storage-utils
cifsdd	samba
cifsiostat	sysstat
cinder	openstack-common
cinder-api	openstack-common
cinder-backup	openstack-common
cinder-manage	openstack-common
cinder-rootwrap	openstack-common
cinder-rtstool	openstack-common
cinder-scheduler	openstack-common
cinder-volume	openstack-common
cinder-volume-usage-audit	openstack-common
cinder-wsgi	openstack-common
ciptool	hardware-bluetooth
circo	graphviz
cjk-gs-integrate	texlive
cjpeg	devpkg-libjpeg-turbo
cksum	os-core
clamav-config	clamav
clambc	clamav
clamconf	clamav
clamd	clamav
clamdscan	clamav
clamdtop	clamav
clamscan	clamav
clang	llvm
clang++	llvm
clang-7	llvm
clang-check	llvm
clang-cl	llvm
clang-cpp	llvm
clang-format	llvm
clang-func-mapping	llvm
